,listing_id,title,make,model,type_of_vehicle,category,transmission,fuel_type
22,1010285,Volkswagen Golf 1.4A TSI,volkswagen,golf,hatchback,"parf car, premium ad car, low mileage car",auto,unknown
23,1013431,Toyota Dyna 150 3.0M,toyota,dyna,truck,-,manual,diesel
24,1028230,Opel Corsa 1.2A Turbo,opel,corsa,hatchback,"parf car, almost new car, premium ad car",auto,unknown
25,993484,Honda Shuttle 1.5A G,undetermined,shuttle,stationwagon,parf car,auto,unknown
26,1029724,Toyota Premio 1.5A F ,toyota,premio,mid-sized sedan,"coe car, premium ad car",auto,unknown
27,1030359,MINI Cooper Clubman 1.5A,mini,cooper,hatchback,"parf car, almost new car",auto,unknown
28,1030764,Suzuki Grand Vitara 2.0A ,suzuki,grand,suv,coe car,auto,unknown
29,978360,Porsche Taycan Electric 4S,porsche,taycan,sports car,"parf car, rare & exotic, almost new car, low mileage car, electric cars",auto,electric
30,1023295,Honda Civic 1.8A VTi-S ,undetermined,civic,mid-sized sedan,"coe car, consignment car",auto,unknown
31,1013096,Honda Airwave 1.5A M ,honda,airwave,stationwagon,"coe car, premium ad car",auto,unknown
32,1016913,BMW X4 xDrive30i M-Sport,bmw,x4,suv,"parf car, almost new car",auto,unknown
33,995374,Honda Vezel Hybrid 1.5A X Honda Sensing,undetermined,vezel,suv,"parf car, premium ad car, hybrid cars",auto,petrol-electric
34,1009563,Mazda 3 1.5A Sunroof,mazda,3,mid-sized sedan,"parf car, low mileage car",auto,unknown
35,1011233,Toyota Alphard 2.5A S C-Package Moonroof,toyota,alphard,mpv,"parf car, almost new car, low mileage car",auto,unknown
36,1020510,BMW M Series X6 M Sunroof ,bmw,x6,suv,"coe car, premium ad car, low mileage car",auto,unknown
37,1022036,Mitsubishi Lancer 1.6M GLX ,undetermined,lancer,mid-sized sedan,"coe car, premium ad car",manual,unknown
38,1020120,Porsche Cayenne 3.6A Tip ,porsche,cayenne,suv,"coe car, low mileage car",auto,unknown
39,1010302,Honda Freed Hybrid 1.5A G 7-Seater,honda,freed,mpv,"parf car, almost new car, premium ad car, hybrid cars",auto,petrol-electric
40,1015605,Lexus NX Hybrid NX300h Luxury Sunroof,lexus,nx,suv,"parf car, premium ad car, hybrid cars",auto,petrol-electric
41,1019244,Honda Civic 1.6M VTi ,honda,civic,mid-sized sedan,coe car,manual,unknown
42,953072,BMW 7 Series 740Li M-Sport,bmw,740li,luxury sedan,"parf car, almost new car, premium ad car, low mileage car",auto,unknown
43,1021840,Honda Vezel Hybrid 1.5A Z,honda,vezel,suv,"parf car, hybrid cars",auto,petrol-electric
44,1017493,BMW 5 Series 528i ,bmw,528i,luxury sedan,"coe car, premium ad car",auto,unknown
45,1028855,Lamborghini Aventador LP700-4 ,lamborghini,aventador,sports car,"coe car, rare & exotic, low mileage car",auto,unknown
46,1026268,Audi R8 4.2A FSI Quattro R-tronic ,audi,r8,sports car,"coe car, premium ad car, low mileage car",auto,unknown
47,1029034,Mercedes-Benz E-Class E200ML ,mercedes-benz,e200,luxury sedan,"coe car, low mileage car",auto,unknown
48,986421,Mercedes-Benz Maybach S-Class S600,mercedes-benz,maybach,luxury sedan,"parf car, rare & exotic",auto,unknown
49,1016410,Honda Jazz 1.3A,undetermined,jazz,hatchback,parf car,auto,unknown
50,1008232,Volkswagen Jetta GP 1.4A TSI Highline,volkswagen,jetta,mid-sized sedan,"parf car, premium ad car",auto,unknown
51,1028659,BMW 2 Series 216i Active Tourer,bmw,216i,hatchback,"parf car, almost new car, low mileage car",auto,unknown
52,1015232,Mercedes-Benz GLB-Class GLB200 Progressive,mercedes-benz,glb200,suv,"parf car, almost new car, premium ad car",auto,unknown
53,976780,Hyundai Elantra 1.6A,undetermined,elantra,mid-sized sedan,"parf car, premium ad car",auto,unknown
54,1006097,Honda Accord Euro R 2.0M ,honda,accord,sports car,"coe car, premium ad car",manual,unknown
55,965217,BMW Z4 sDrive23i ,bmw,z4,sports car,"coe car, direct owner sale, low mileage car",auto,unknown
56,1008845,Lexus ES Hybrid ES300h Luxury Sunroof,lexus,es,luxury sedan,"parf car, premium ad car, hybrid cars, sgcarmart warranty cars",auto,petrol-electric
57,1023935,BMW 1 Series 116i Urban,bmw,116i,hatchback,"parf car, direct owner sale, low mileage car",auto,unknown
58,1017070,Toyota Wish 1.8A,toyota,wish,mpv,"parf car, premium ad car",auto,unknown
59,1029304,Nissan X-Trail 2.0A 7-Seater Sunroof,nissan,x-trail,suv,"parf car, premium ad car",auto,unknown
60,977627,Toyota Corolla Altis 1.6A Elegance,toyota,corolla,mid-sized sedan,"parf car, premium ad car",auto,unknown
61,1023010,Mercedes-Benz GLC-Class GLC43 AMG 4MATIC Premium Plus,mercedes-benz,amg,suv,"parf car, rare & exotic, almost new car",auto,unknown
62,1021055,Volkswagen Polo 1.2A TSI,volkswagen,polo,hatchback,parf car,auto,unknown
63,953205,Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,audi,a3,luxury sedan,parf car,auto,unknown
64,1010167,Volkswagen Beetle 1.2A TSI Sunroof,volkswagen,beetle,hatchback,parf car,auto,unknown
65,1019334,Audi R8 Spyder 4.2A ,audi,r8,sports car,"coe car, low mileage car",auto,unknown
66,1028848,Audi A5 Cabriolet 2.0A TFSI ,audi,a5,sports car,coe car,auto,unknown
67,1003551,Proton Exora 1.6A M-Line ,proton,exora,mpv,"coe car, low mileage car",auto,unknown
68,1006128,Toyota Hiace 3.0M,undetermined,hiace,van,premium ad car,manual,diesel
69,985788,Honda HR-V 1.5A DX,honda,hr-v,suv,"parf car, sgcarmart warranty cars",auto,unknown
70,1026578,Mercedes-Benz C-Class C180K ,mercedes-benz,c180,mid-sized sedan,"coe car, low mileage car",auto,unknown
71,1006949,Honda HR-V 1.5A LX,honda,hr-v,suv,"parf car, premium ad car, low mileage car",auto,unknown
72,965500,Hyundai Ioniq Hybrid 1.6A DCT Sunroof,hyundai,ioniq,hatchback,"parf car, hybrid cars",auto,petrol-electric
73,1029145,Toyota Hiace 3.0A,undetermined,hiace,van,almost new car,auto,diesel
74,1017034,Suzuki SX4 S-Cross 1.6A GLX,suzuki,sx4,suv,"parf car, premium ad car, low mileage car",auto,unknown
75,1030771,Mitsubishi Lancer EX 1.5A Elegance ,undetermined,lancer,mid-sized sedan,"coe car, premium ad car",auto,unknown
76,990220,Mercedes-Benz E-Class E200 Mild Hybrid AMG Line,undetermined,amg,luxury sedan,"imported used vehicle, coe car, low mileage car, hybrid cars",auto,petrol-electric
77,988530,Proton Exora 1.6A M-Line ,proton,exora,mpv,coe car,auto,unknown
78,1023832,Bentley Continental GT 6.0A Speed ,bentley,continental,sports car,"coe car, direct owner sale",auto,unknown
79,1022283,Honda Jazz 1.5A RS,honda,jazz,hatchback,parf car,auto,unknown
80,1005248,Nissan NV350 2.5A,nissan,nv350,van,-,auto,diesel
81,1021912,Toyota Hiace 3.0M DX,undetermined,hiace,van,premium ad car,manual,diesel
82,1015807,Toyota Vios 1.5A E Sports ,undetermined,vios,mid-sized sedan,"coe car, direct owner sale, low mileage car",auto,unknown
83,1028531,Toyota Camry 2.0A ,toyota,camry,luxury sedan,coe car,auto,unknown
84,1003644,Mercedes-Benz SLK-Class SLK350 AMG Sport ,mercedes-benz,amg,sports car,"coe car, premium ad car",auto,unknown
85,1013226,BMW 5 Series 530i M-Sport,bmw,530i,luxury sedan,parf car,auto,unknown
86,1027556,Toyota Camry 2.0A ,toyota,camry,luxury sedan,"coe car, consignment car",auto,unknown
87,1031152,Toyota Wish 1.8A X ,toyota,wish,mpv,"coe car, low mileage car",auto,unknown
88,1024838,Lexus ES250 Executive Sunroof,lexus,es,luxury sedan,"parf car, almost new car, premium ad car",auto,unknown
89,1002581,Mazda 3 1.5A Sunroof ,mazda,3,mid-sized sedan,"opc car, parf car, premium ad car, low mileage car",auto,unknown
90,1010001,Kia Cerato K3 1.6A SX,kia,cerato,mid-sized sedan,"parf car, premium ad car, low mileage car",auto,unknown
91,1021033,Honda Civic 1.8A ,honda,civic,mid-sized sedan,coe car,auto,unknown
92,1030705,Mazda 6 2.0A,mazda,2,luxury sedan,"parf car, direct owner sale",auto,unknown
93,1027068,Toyota Previa 2.4A Aeras Moonroof,toyota,previa,mpv,parf car,auto,unknown
94,1018128,Mercedes-Benz E-Class E200 ,mercedes-benz,e200,luxury sedan,"coe car, premium ad car",auto,unknown
95,1024395,BMW 3 Series 316i,bmw,316i,luxury sedan,parf car,auto,unknown
96,963082,Honda Civic 2.0A ,undetermined,civic,mid-sized sedan,coe car,auto,unknown
97,1019796,Toyota Dyna 150 3.0M ,toyota,dyna,truck,"coe car, premium ad car",manual,diesel
98,1025322,Mercedes-Benz E-Class E200 ,mercedes-benz,e200,luxury sedan,coe car,auto,unknown
99,1025512,Audi TT RS Coupe 2.5M TFSI Quattro ,audi,rs,sports car,coe car,manual,unknown
100,994828,BMW 5 Series 523i ,bmw,523i,luxury sedan,coe car,auto,unknown
101,990250,Mercedes-Benz 250,mercedes-benz,250,luxury sedan,"imported used vehicle, parf car, rare & exotic, vintage cars",auto,unknown
102,974187,Volkswagen Caddy 1.6A ,volkswagen,caddy,van,coe car,auto,diesel
103,987006,Toyota Estima 2.4A X Moonroof ,toyota,estima,mpv,"coe car, direct owner sale",auto,unknown
104,1030965,Citroen Grand C4 Picasso Diesel 1.6A e-HDi Panoramic,citroen,c4,mpv,"parf car, premium ad car",auto,diesel
105,1016071,Opel Mokka X Diesel 1.6A,opel,mokka,suv,"parf car, premium ad car",auto,diesel
106,1023418,Toyota Corolla Altis 1.6A ,undetermined,corolla,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,unknown
107,961153,Nissan Latio 1.5A Sports Premium ,nissan,latio,hatchback,"coe car, direct owner sale",auto,unknown
108,1030375,Audi RS 5 Sportback 2.9A TFSI Quattro,audi,rs,mid-sized sedan,"parf car, almost new car, low mileage car",auto,unknown
109,1028408,BMW X1 sDrive18i,bmw,x1,suv,parf car,auto,unknown
110,1020286,BMW X3 sDrive20i Advantage,bmw,x3,suv,"parf car, almost new car",auto,unknown
111,1011764,Honda Civic 1.6A VTi,honda,civic,mid-sized sedan,"parf car, premium ad car",auto,unknown
112,1022520,BMW 5 Series 528i ,bmw,528i,luxury sedan,"coe car, premium ad car",auto,unknown
113,1013804,Nissan NV200 1.6A,nissan,nv200,van,"almost new car, premium ad car",auto,petrol
114,979550,Maserati Quattroporte S 3.0A,maserati,quattroporte,luxury sedan,parf car,auto,unknown
115,1024594,Honda Civic Hybrid 1.3A ,honda,civic,mid-sized sedan,"coe car, hybrid cars",auto,petrol-electric
116,1031288,BMW X5 xDrive40i xLine,bmw,x5,suv,"parf car, premium ad car",auto,unknown
117,1008199,Nissan X-Trail 2.0A 7-Seater Sunroof,nissan,x-trail,suv,parf car,auto,unknown
118,1025501,Mercedes-Benz S-Class S350L Sunroof ,mercedes-benz,s350,luxury sedan,"coe car, consignment car, low mileage car",auto,unknown
119,1026520,Toyota Wish 1.8A X ,toyota,wish,mpv,coe car,auto,unknown
120,1001024,Nissan NV200 1.5M ,nissan,nv200,van,"coe car, premium ad car",manual,diesel
121,986495,Mercedes-Benz Vito 109 CDI,mercedes-benz,vito,van,almost new car,manual,diesel
122,1007296,Toyota Previa 2.4A 8-Seater ,toyota,previa,mpv,coe car,auto,unknown
123,994566,Porsche Cayenne 3.6A Tip ,porsche,cayenne,suv,coe car,auto,unknown
124,1031253,Lexus IS250 ,lexus,is,luxury sedan,coe car,auto,unknown
125,1030140,Mercedes-Benz E-Class E250 AMG Line,mercedes-benz,amg,luxury sedan,"parf car, premium ad car",auto,unknown
126,1031059,Mercedes-Benz CLA-Class CLA180 AMG Line Premium Plus,mercedes-benz,amg,luxury sedan,"parf car, premium ad car",auto,unknown
127,1001363,Mitsubishi Lancer EX 2.0A GT ,undetermined,lancer,mid-sized sedan,"coe car, premium ad car",auto,unknown
128,960043,Honda Accord 2.0A ,honda,accord,luxury sedan,coe car,auto,unknown
129,1015993,Nissan Latio 1.5A ,nissan,latio,mid-sized sedan,coe car,auto,unknown
130,1025637,Alfa Romeo Giulia 2.9A Quadrifoglio,alfa romeo,giulia,sports car,"parf car, premium ad car",auto,unknown
131,1017838,Citroen Berlingo 1.6M HDI ,citroen,berlingo,van,"coe car, premium ad car",manual,diesel
132,1025660,Mazda CX-5 2.0A,mazda,2,suv,"parf car, premium ad car",auto,unknown
133,1018281,Lexus IS250 ,lexus,is,luxury sedan,"coe car, premium ad car",auto,unknown
134,1003980,BMW 5 Series 530i M-Sport,bmw,530i,luxury sedan,"imported used vehicle, coe car, low mileage car",auto,unknown
135,1010657,Volkswagen Scirocco 1.4A TSI ,volkswagen,scirocco,sports car,coe car,auto,unknown
136,1027405,Mitsubishi Lancer EX 1.6A,mitsubishi,lancer,mid-sized sedan,parf car,auto,unknown
137,991635,BMW 3 Series 318i,bmw,318i,luxury sedan,parf car,auto,unknown
138,1010208,Honda Jazz 1.3A ,honda,jazz,hatchback,coe car,auto,unknown
139,1031173,Jaguar XE Diesel 2.0A Prestige,jaguar,xe,luxury sedan,"parf car, premium ad car",auto,diesel
140,1003765,MINI Cooper S 1.6A ,mini,cooper,sports car,"coe car, consignment car, low mileage car",auto,unknown
141,1025165,Nissan Qashqai 1.2A DIG-T,nissan,qashqai,suv,"parf car, premium ad car, low mileage car",auto,unknown
142,1003778,Kia Cerato K3 1.6A,undetermined,cerato,mid-sized sedan,parf car,auto,unknown
143,1028336,BMW 1 Series 116i M-Sport ,bmw,116i,hatchback,coe car,auto,unknown
144,1019899,Lexus GS450h Hybrid Super Luxury ,lexus,gs,luxury sedan,"coe car, hybrid cars",auto,petrol-electric
145,1016391,Mercedes-Benz E-Class E250 AMG Line,mercedes-benz,amg,luxury sedan,parf car,auto,unknown
146,979020,BMW 5 Series 528i Sport Pro,bmw,528i,luxury sedan,parf car,auto,unknown
147,962222,Toyota Corolla Axio 1.5A X ,toyota,corolla,mid-sized sedan,coe car,auto,unknown
148,1023699,Volkswagen Scirocco 1.4A TSI ,volkswagen,scirocco,sports car,"coe car, low mileage car",auto,unknown
149,1028117,Honda Jazz 1.5A RS,honda,jazz,hatchback,"parf car, low mileage car",auto,unknown
150,1026166,Audi A3 Sedan 1.4A TFSI Ambiente,audi,a3,luxury sedan,"parf car, premium ad car",auto,unknown
151,1003900,Audi RS 4 Avant 4.2A FSI Quattro,audi,rs,stationwagon,"parf car, direct owner sale",auto,unknown
152,1019760,Toyota Wish 2.0A ,undetermined,wish,mpv,coe car,auto,unknown
153,1021331,Mercedes-Benz A-Class Saloon A200 SE,mercedes-benz,a200,luxury sedan,"parf car, almost new car, premium ad car, low mileage car",auto,unknown
154,1004648,Kia Sorento 2.4A SX Sunroof ,kia,sorento,suv,coe car,auto,unknown
155,1006300,Honda Shuttle Hybrid 1.5A,undetermined,shuttle,stationwagon,"parf car, premium ad car, hybrid cars",auto,petrol-electric
156,989886,Toyota Land Cruiser Prado 2.7A TX L,toyota,land,suv,"parf car, low mileage car",auto,unknown
157,1021188,Honda Jazz 1.5A RS,undetermined,jazz,hatchback,"parf car, direct owner sale",auto,unknown
158,1030825,Audi A5 Sportback 2.0A TFSI Quattro ,audi,a5,luxury sedan,"coe car, direct owner sale",auto,unknown
159,1030777,Suzuki Swift Sport 1.6M ,suzuki,swift,hatchback,"coe car, premium ad car",manual,unknown
160,1024356,Kia Cerato Forte 1.6A SX ,undetermined,cerato,mid-sized sedan,"coe car, low mileage car",auto,unknown
161,1019839,BMW 4 Series 420i Coupe M-Sport,bmw,420i,sports car,"parf car, almost new car",auto,unknown
162,956929,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,nissan,x-trail,suv,"parf car, premium ad car",auto,unknown
163,1020047,Audi A1 Sportback 1.0A TFSI S-tronic S-Line,audi,a1,hatchback,"parf car, almost new car, premium ad car",auto,unknown
164,1020610,Toyota Sienta 1.5A G ,toyota,sienta,mpv,"coe car, premium ad car",auto,unknown
165,1022467,Porsche Cayenne 3.6A Tip ,porsche,cayenne,suv,coe car,auto,unknown
166,974922,Mercedes-Benz CLA-Class CLA180 AMG Line,undetermined,amg,luxury sedan,"parf car, almost new car, premium ad car, low mileage car",auto,unknown
167,1021011,Mercedes-Benz S-Class S300L Sunroof,mercedes-benz,s300l,luxury sedan,"parf car, low mileage car",auto,unknown
168,1025613,Nissan NV350 Caravan 2.0A DX,nissan,nv350,van,"almost new car, premium ad car",auto,petrol
169,1025924,Fiat Doblo 1.3M,fiat,doblo,van,direct owner sale,manual,diesel
170,1018691,Honda Shuttle Hybrid 1.5A,undetermined,shuttle,stationwagon,"parf car, premium ad car, hybrid cars",auto,petrol-electric
171,1009956,Volkswagen Polo 1.4A ,volkswagen,polo,hatchback,coe car,auto,unknown
172,1029083,Mercedes-Benz A-Class A45 AMG 4MATIC,mercedes-benz,a45,sports car,"parf car, premium ad car",auto,unknown
173,1019803,BMW 5 Series 520i,bmw,520i,luxury sedan,"parf car, consignment car",auto,unknown
174,1014226,Honda Shuttle 1.5A G LED,honda,shuttle,stationwagon,parf car,auto,unknown
175,1016126,Honda Civic 1.6A VTi-S,undetermined,civic,mid-sized sedan,"parf car, premium ad car",auto,unknown
176,1012081,Mitsubishi Attrage 1.2A Sports ,mitsubishi,attrage,mid-sized sedan,"opc car, parf car, premium ad car, low mileage car",auto,unknown
177,1008703,Honda Stream 1.8A X ,undetermined,stream,mpv,coe car,auto,unknown
178,1016696,Mercedes-Benz GLA-Class GLA180 Urban Edition,mercedes-benz,gla180,suv,parf car,auto,unknown
179,995312,Honda Vezel Hybrid 1.5A RS Honda Sensing,honda,vezel,suv,"parf car, direct owner sale, low mileage car, hybrid cars",auto,petrol-electric
180,985893,Mercedes-Benz G-Class G350 BlueTEC CDI,mercedes-benz,g350,suv,"parf car, low mileage car",auto,diesel
181,983458,Audi A3 Sedan 1.0A TFSI S-tronic,audi,a3,luxury sedan,parf car,auto,unknown
182,995980,Toyota Corolla Altis 1.6A ,toyota,corolla,mid-sized sedan,coe car,auto,unknown
183,1015573,Mitsubishi Lancer EX 1.5A Sports ,mitsubishi,lancer,mid-sized sedan,coe car,auto,unknown
184,1023319,Mercedes-Benz C-Class C200 Coupe AMG Line,mercedes-benz,amg,sports car,"parf car, premium ad car, low mileage car",auto,unknown
185,1021886,Toyota Hiace 3.0A DX,undetermined,hiace,van,-,auto,diesel
186,1027768,Mercedes-Benz B-Class B180 Style,mercedes-benz,b180,hatchback,"parf car, premium ad car",auto,unknown
187,1013988,Nissan Sylphy 1.6A Premium,nissan,sylphy,mid-sized sedan,"parf car, premium ad car",auto,unknown
188,1027853,Mercedes-Benz CLA-Class CLA200 Progressive,mercedes-benz,cla200,luxury sedan,"parf car, consignment car",auto,unknown
189,1028533,Bentley Continental GT 4.0A V8,bentley,continental,sports car,"parf car, rare & exotic, premium ad car, low mileage car",auto,unknown
190,1027301,BMW 5 Series 535i Sunroof ,bmw,535i,luxury sedan,coe car,auto,unknown
191,964416,Mercedes-Benz C-Class C180 Coupe,mercedes-benz,c180,sports car,parf car,auto,unknown
192,1024716,Hyundai Avante 1.6A ,undetermined,avante,mid-sized sedan,coe car,auto,unknown
193,1004256,Toyota Corolla Altis 1.6A ,toyota,corolla,mid-sized sedan,coe car,auto,unknown
194,1023410,Mercedes-Benz S-Class S400L AMG Line,mercedes-benz,amg,luxury sedan,parf car,auto,unknown
195,1024862,Lexus ES Hybrid ES300h Luxury Sunroof ,lexus,es,luxury sedan,"opc car, parf car, low mileage car, hybrid cars",auto,petrol-electric
196,1018108,Mitsubishi Evolution 9 GSR ,mitsubishi,evolution,sports car,"coe car, premium ad car, low mileage car",manual,unknown
197,1015481,Ferrari 599 F1 GTB Fiorano ,ferrari,599,sports car,"coe car, rare & exotic, consignment car, low mileage car",auto,unknown
198,1026668,BMW X3 sDrive20i,bmw,x3,suv,parf car,auto,unknown
199,1017335,Toyota Alphard 2.5A S,toyota,alphard,mpv,"imported used vehicle, coe car, low mileage car",auto,unknown
200,1019727,Toyota Hiace 3.0M,toyota,hiace,van,premium ad car,manual,diesel
201,1016147,Mercedes-Benz A-Class A250 Sport,mercedes-benz,a250,hatchback,"parf car, low mileage car",auto,unknown
202,1029746,Mercedes-Benz CLA-Class CLA200 Urban,mercedes-benz,cla200,luxury sedan,"parf car, premium ad car, low mileage car",auto,unknown
203,1023483,Maserati GranTurismo 4.2A ,maserati,granturismo,sports car,"coe car, premium ad car, low mileage car",auto,unknown
204,1009468,Honda Mobilio 1.5A RS i-VTEC Luxe,honda,mobilio,mpv,"parf car, premium ad car, low mileage car",auto,unknown
205,1012016,Toyota Hiace 3.0M DX,toyota,hiace,van,premium ad car,manual,diesel
206,1022007,Volkswagen Golf Cabriolet 1.4A TSI ,volkswagen,golf,sports car,"coe car, premium ad car, low mileage car",auto,unknown
207,1010594,Toyota Camry Hybrid 2.5A Ascent Sport,toyota,camry,luxury sedan,"parf car, direct owner sale, almost new car, hybrid cars",auto,petrol-electric
208,981461,Mercedes-Benz GLB-Class GLB200 AMG Line 7-Seater,mercedes-benz,amg,suv,"parf car, almost new car, premium ad car, low mileage car",auto,unknown
209,1020356,Honda Stream 1.8A RSZ ,undetermined,stream,mpv,"coe car, premium ad car",auto,unknown
210,1024696,Mercedes-Benz A-Class A250 Sport,mercedes-benz,a250,hatchback,"parf car, direct owner sale",auto,unknown
211,1026864,Nissan Qashqai 1.2A DIG-T,nissan,qashqai,suv,"parf car, premium ad car",auto,unknown
212,1011962,Honda Civic 1.8A VTi-S ,honda,civic,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,unknown
213,1025121,Honda Fit Hybrid 1.5A,undetermined,fit,hatchback,"parf car, hybrid cars",auto,petrol-electric
214,973023,Toyota Harrier 2.0A Premium Panoramic,undetermined,harrier,suv,parf car,auto,unknown
215,988445,Toyota C-HR Hybrid 1.8A S,toyota,c-hr,suv,"parf car, hybrid cars",auto,petrol-electric
216,1017413,Lexus NX300 Executive,lexus,nx,suv,parf car,auto,unknown
217,1010280,Kia Cerato Forte 1.6A EX ,undetermined,cerato,mid-sized sedan,"coe car, direct owner sale",auto,unknown
218,1026846,Porsche 911 Carrera Coupe 3.6A PDK ,porsche,911,sports car,"coe car, premium ad car, low mileage car",auto,unknown
219,996963,Tesla Model X Electric 100D,tesla,model,suv,"imported used vehicle, coe car, rare & exotic, electric cars",auto,electric
220,998054,Toyota Wish 1.8A ,undetermined,wish,mpv,"coe car, low mileage car",auto,unknown
221,988236,Hino XZU710R,hino,xzu710r,truck,premium ad car,manual,diesel
222,1027792,Nissan NV200 1.6A DX,nissan,nv200,van,"almost new car, premium ad car",auto,petrol
223,1028983,Toyota Corolla Altis 1.6A ,undetermined,corolla,mid-sized sedan,"coe car, direct owner sale",auto,unknown
224,1025296,Lamborghini Aventador LP700-4,lamborghini,aventador,sports car,"parf car, direct owner sale, low mileage car",auto,unknown
225,1029035,Kia Cerato K3 1.6A EX,undetermined,cerato,mid-sized sedan,"parf car, premium ad car",auto,unknown
226,1021138,Mercedes-Benz S-Class S300L Sunroof ,mercedes-benz,s300l,luxury sedan,"coe car, low mileage car",auto,unknown
227,936886,Honda N-Box Slash GL,honda,n-box,hatchback,"parf car, almost new car, premium ad car, low mileage car",auto,unknown
228,1029429,Lexus ES250 Executive Sunroof,lexus,es,luxury sedan,parf car,auto,unknown
229,1018468,Hyundai Elantra 1.6A GLS ,hyundai,elantra,mid-sized sedan,coe car,auto,unknown
230,1031037,Toyota Corolla Altis 1.6A ,toyota,corolla,mid-sized sedan,"coe car, premium ad car",auto,unknown
231,988238,BMW 5 Series 528i Gran Turismo Luxury,bmw,528i,luxury sedan,"parf car, premium ad car",auto,unknown
232,1023597,BMW 2 Series 216i Gran Tourer,bmw,216i,mpv,parf car,auto,unknown
233,1019064,Hyundai Elantra 1.6A GLS S ,hyundai,elantra,mid-sized sedan,"opc car, parf car",auto,unknown
234,1026426,Toyota Wish 1.8A X ,toyota,wish,mpv,"coe car, low mileage car",auto,unknown
235,992441,BMW 2 Series 216i Gran Tourer Sport,bmw,216i,mpv,"parf car, premium ad car",auto,unknown
236,1011392,Toyota Corolla Altis 1.6A Standard,toyota,corolla,mid-sized sedan,parf car,auto,unknown
237,998233,Audi A6 2.0A TFSI MU ,audi,a6,luxury sedan,"coe car, premium ad car",auto,unknown
238,1008086,BMW 1 Series 116d,bmw,116d,hatchback,"parf car, consignment car",auto,diesel
239,1014343,BMW X1 sDrive18i,bmw,x1,suv,"parf car, almost new car, premium ad car",auto,unknown
240,1026229,Mercedes-Benz GLE-Class GLE400 Coupe 4MATIC,mercedes-benz,coupe,suv,parf car,auto,unknown
241,1012174,MINI Cooper 1.6A ,mini,cooper,hatchback,"coe car, premium ad car",auto,unknown
242,1029822,Mitsubishi Eclipse Cross 1.5A Sunroof,mitsubishi,eclipse,suv,"parf car, premium ad car",auto,unknown
243,1011632,Toyota Sienta Hybrid 1.5A X,toyota,sienta,mpv,"parf car, low mileage car, hybrid cars",auto,petrol-electric
244,971211,Nissan Note 1.2A DIG-S,nissan,note,hatchback,"parf car, consignment car",auto,unknown
245,1027993,Mercedes-Benz C-Class C180,mercedes-benz,c180,luxury sedan,"parf car, premium ad car",auto,unknown
